country,year,crisis_bin,crisis_h1,crisis_h2,crisis_h3,z1,z2,z3,z4
Denmark,1966,0,0,0,0,0.0032991874991703347,-0.006014083828423595,0.00036214547798768103,-0.0060652065943878975
Denmark,1967,0,0,0,0,-0.001078605932114015,0.003004927812752943,-0.0008243302225050135,0.0027039668115777953
Denmark,1968,0,0,0,0,-0.0008486604678478048,0.00278960958010055,-0.000308934377801585,0.0023768157409245223
Denmark,1969,0,0,0,0,-0.004261318620151143,0.0076343960088092674,-0.008602071336677966,0.008703888539868431
Denmark,1970,0,0,0,0,-0.0009351050266593099,0.0028769388084486248,-0.000500660752615238,0.0025057206919794615
Denmark,1971,0,0,0,0,0.0004427453210997805,-0.0016409263325025325,0.0003403835708028306,-0.0018937098718519738
Denmark,1972,0,0,0,0,-0.0009351050266593099,0.0028769388084486248,-0.000500660752615238,0.0025057206919794615
Denmark,1973,0,0,0,0,0.003411722446431737,-0.002777549116535997,0.0007148261210590431,0.0022783692382729918
Denmark,1974,0,0,0,0,0.00354237765292838,-0.005673247065426433,0.0005106507259401373,-0.003585567460976306
Denmark,1975,0,0,0,0,0.011069915036049044,-0.01430012577516076,0.006078327045188316,-0.013000396097077656
Denmark,1976,0,0,0,0,-0.008606363780044236,0.01628083525761239,-0.003113412081615389,-0.0010814916932055984
Denmark,1977,0,0,0,0,-0.00025360299796761264,0.0009402186806619596,0.0010141950193199834,-0.0022591618062649957
Denmark,1978,0,0,0,0,-0.0036229649896641503,0.010459186428736682,-0.004601361848839987,0.0013321442286411737
Denmark,1979,0,0,0,0,-0.00030372834861781806,0.0017391251432080247,0.007689513346985584,0.015749972056617646
Denmark,1980,0,0,0,0,0.008873643282958537,-0.017570354889071015,-0.00512669770090509,-0.0009671153089869516
Denmark,1981,0,0,0,0,0.003166492546160058,-0.004030252752277865,0.008038751367369212,-0.0015302921750387638
Denmark,1982,0,0,0,0,0.0034356444584969156,-0.008486745326643995,-0.0035369273277036325,0.013451006872969924
Denmark,1983,0,0,0,0,-0.00455854433782085,0.002407162444265376,0.008792121771279922,-0.003971960304289657
Denmark,1984,0,0,0,0,-0.0003751634953159606,-0.006864776217155387,-0.0121735415353616,0.02314338509426878
Denmark,1985,0,0,0,0,0.0027460743680352987,-0.0005359321485465156,0.009136355596223203,0.012709900961792933
Denmark,1986,0,0,0,0,0.00597224215908041,-0.015459876322793454,-0.004395174661530027,0.006430952157738524
Denmark,1987,0,0,0,0,0.0014827431551107078,-0.026945726702023602,-0.019318707391495663,-0.004611418832647113
Denmark,1988,0,0,0,0,-0.015591403011040183,0.02423661513507936,0.010463437938804943,0.0081738164872708
Denmark,1989,0,0,0,0,0.017242859153415196,0.025347822988651167,0.024906423449861326,0.013699077097694846
Denmark,1990,0,0,0,0,0.027761932652115465,-0.0623802167551307,-0.03385829705465552,0.019981212290981296
Denmark,1991,0,0,0,0,0.02570725977144489,-0.05822726744405813,0.03135412241295416,-0.008936810328938963
Denmark,1992,0,0,0,0,-0.1257769582987464,-0.027647792772956432,-0.0637831096492917,-0.10660722826963377
Denmark,1993,0,0,0,0,-0.012719165375221572,-0.06342549694794986,-0.0545702480067933,-0.0031698974863946065
Denmark,1994,0,0,0,0,0.03281739199459549,-0.053870036085469065,-0.0022086615799290846,0.03755917695192739
Denmark,1995,0,0,0,0,0.012581795721102745,-0.06313687766647225,-0.12413800163002549,-0.024331173862277577
Denmark,1996,0,0,0,0,0.02327189955521897,-0.06800922962363679,-0.07060975071474712,-0.003938734904704506
Denmark,1998,0,0,0,0,0.05364285700899988,-0.09894077880946024,-0.04240485099142773,-0.01701963935432912
Denmark,1999,0,0,0,0,0.04247302251869782,-0.1143446604191633,-0.05024232977641298,0.0002720770080046758
Denmark,2000,0,0,0,0,0.03055438970548263,-0.11862049561467618,-0.06692071474635515,-0.008800824888688736
Denmark,2001,0,0,0,0,0.0009107138912287248,-0.04953098015358725,-0.09817319430701457,0.07606551394475121
